EMP_NAME,EMP_AGE,MARITAL STATUS,EMP ID,COMPANY,COMPANY LOCATION,SPECIALIZATION,DESIGNATION_ID,PHONE NO,BANK BRANCH,EXPERIENCE,EDUCATION,VOTER_ID,PAN CARD,HOUSING,Loan,LOAN TYPE_ID,REWARD POINTS ,SAVINGS ACCOUNT NO.,CD ACC NO,FD ACC NO,OD ACC NO,CURRENT ACC NO,BALANCE,CREDIT CARD NO,DEBIT CARD NO,INTERNET BANKING,AVG BALANCE YEAR1,AVG BALANCE YEAR 2,AVG BALANCE YEAR 3,ADDRESS OF EMPLOYEES,ACCOUNT OPENING DATE,,
Shah,29,married,10065,IBM,Chennai,Business Intelligence,1008,9456852316,Bangalore,8,BE/BTech,QSR985412,CSKMN2012M,yes,no,208,5285,10025000000035,NULL,1114020000159,NULL,NULL,60000,4413 2385 1258 1223,1268 9438 8752 1005,yes,14881,156527,341779,"H.No:3/A,standard mill compound,Wadala(W)",07-06-2010,,
Talapaneni,30,divorced,10066,IBM,Chennai,J2EE,1008,8523697416,Bangalore,4.5,BE/BTech,AMN45123,CSKMN2013L,yes,no,208,585,10025000000036,NULL,1114020000160,NULL,NULL,70000,4414 2385 1258 1223,1269 9438 8752 1005,yes,196843,60749,249085,"H.No:3/M,dargah road,mahalakshmi",08-06-2010,,
Nara,27,married,10067,IBM,Chennai,ABAP,1008,7562314895,Bangalore,3.5,BE/BTech,QSZ126578,CSKMN2014K,yes,no,208,254,10025000000037,NULL,1114020000161,NULL,NULL,50000,4393 2395 1258 1322,1270 9438 8752 1005,yes,115556,151919,19278,"H.No:1/A,durdarshan road,Worli",28-08-2008,,
Acharekar,29,married,10068,IBM,Chennai,V&V,1008,9632580000,Bangalore,6.5,BE/BTech,PLI9632585,CSKMN2015J,no,no,208,8974,10025000000038,NULL,1114020000162,NULL,NULL,2000,4415 2385 1258 1223,1271 9438 8752 1005,yes,146641,29516,560634,"H.No:5/A,derashar lane,ghatkopar",29-08-2008,,
Poojary,29,divorced,10069,IBM,Chennai,ABAP,1008,9623584000,Bangalore,7.5,BE/BTech,APL784513,CSKMN2016I,yes,no,208,5236,10025000000039,NULL,1114020000163,NULL,NULL,3000,4416 2385 1258 1223,1272 9438 8752 1005,yes,115696,57801,230789,"H.No:4/A,H.No:1/I,Aarey road,Sion(W)",30-08-2008,,
Mundargi,30,single,10070,IBM,Chennai,DotNet,1008,8526314000,Bangalore,7.5,BE/BTech,PLI9632586,CSKMN2017H,yes,no,208,4,10025000000040,NULL,1114020000164,NULL,NULL,10000,4417 2385 1258 1223,1273 9438 8752 1005,yes,55707,181010,263277,"H.No:1/A,L T road,Wadala(E)",03-06-2010,,
Raghupathi,29,divorced,10071,IBM,Chennai,DotNet,1008,8521639748,Bangalore,6.5,BE/BTech,EFU589632,CSKMN2018G,yes,no,208,685,10025000000041,NULL,1114020000165,NULL,NULL,5000,4418 2385 1258 1223,1274 9438 8752 1005,yes,6922,265147,525280,"H.No:2/B,H.No:2/L,forjet street,Kurla(W)",04-06-2010,,
Gudipati,28,married,10072,IBM,Gandhi Nagar,Business Intelligence,1008,8956231479,Bangalore,5.5,BE/BTech,IJP8252370,GHAND5000A,yes,no,208,36987,10025000000042,NULL,1114020000166,NULL,NULL,496000,4394 2395 1258 1322,1275 9438 8752 1005,yes,153554,190139,195923,"H.No:5/P,Court naka,CST(W)",05-06-2010,,
Deshmukh,26,married,10073,IBM,Gandhi Nagar,J2EE,1008,8521346798,Bangalore,4.5,BE/BTech,QSR985413,GHAND5001B,yes,no,208,524,10025000000043,NULL,1114020000167,NULL,NULL,785000,4419 2385 1258 1223,1276 9438 8752 1005,yes,101975,306549,416299,"H.No:5/I,H.No:5/T,fountain road,Sandhurst road(E)",06-06-2010,,
Yogananda,28,married,10074,IBM,Gandhi Nagar,ABAP,1008,9785632465,Bangalore,6.5,BE/BTech,AMN45124,GHAND5002C,yes,no,208,69354,10025000000044,NULL,1114020000168,NULL,NULL,7500,4420 2385 1258 1223,1277 9438 8752 1005,yes,95964,230939,396423,"H.No:6/A,vaishali nagar,Elphistone",28-08-2008,,
Akuthota,27,married,10075,IBM,Gandhi Nagar,DotNet,1008,9236587412,Bangalore,4.5,BE/BTech,QSZ126579,GHAND5003D,yes,no,208,5866,10025000000045,NULL,1114020000169,NULL,NULL,7500,4421 2385 1258 1223,1278 9438 8752 1005,yes,70108,99926,201529,"H.No:6/F,H.No:6/K,dadoji kondev road,chunbhatti",26-01-2009,,
mithila rai,28,single,10076,IBM,Gandhi Nagar,J2EE,1008,9321654780,Bangalore,5.5,BE/BTech,PLI9632586,GHAND5004V,yes,no,208,2425,10025000000046,NULL,1114020000170,NULL,NULL,52150,4422 2385 1258 1223,1279 9438 8752 1005,no,56042,119944,467899,"H.No:6/L,Veera Desai Road,Andheri (w)",03-06-2010,,
Pandigunta,29,married,10077,IBM,Gandhi Nagar,ABAP,1008,9020603040,Bangalore,7.5,BE/BTech,APL784514,GHAND5005B,yes,no,208,98745,10025000000047,NULL,1114020000171,NULL,NULL,54645,4395 2395 1258 1322,1280 9438 8752 1005,no,163037,204817,369821,"H.No:6/Q,Azad Nagar ,Andheri(w)",26-01-2009,,
Chakraborty,36,married,10078,IBM,Gandhi Nagar,V&V,1008,9563201478,Bangalore,8,BE/BTech,PLI9632587,GHAND5006N,yes,no,208,3625,10025000000048,NULL,1114020000172,NULL,NULL,5464527,4423 2385 1258 1223,1281 9438 8752 1005,no,64207,358179,151899,"H.No:10/S,Worlikar marg,Worli",25-06-2007,,
divya patil,27,divorced,10079,IBM,Navi Mumbai,DotNet,1008,9852361470,Bangalore,4.5,BE/BTech,EFU589633,NAPOI6000Z,no,no,208,452,10025000000049,NULL,1114020000173,NULL,NULL,21512,4424 2385 1258 1223,1282 9438 8752 1005,yes,14052,148469,369117,"H.No:3/P,Amarsons garden,Prabhadevi",26-06-2007,,
Reddy,35,single,10080,IBM,Navi Mumbai,Business Intelligence,1008,8523697413,Bangalore,6.5,BE/BTech,IJP8252371,NAPOI6001X,yes,no,208,7875,10025000000050,NULL,1114020000174,NULL,NULL,252520,4425 2385 1258 1223,1283 9438 8752 1005,yes,118792,21322,96643,"H.No:7/A,shivari road,Parel(E)",27-06-2007,,
mayank,32,married,10081,IBM,Navi Mumbai,J2EE,1008,8456971235,Bangalore,4.5,BE/BTech,QSR985414,NAPOI6002C,yes,no,208,1243,10025000000051,NULL,1114020000175,NULL,NULL,2000,4426 2385 1258 1223,1284 9438 8752 1005,yes,84621,308843,140911,"H.No:1/J,gymkhana marg,Currey road",28-06-2007,,
Manoharan,25,divorced,10082,IBM,Navi Mumbai,ABAP,1008,8456231792,Bangalore,3.5,BE/BTech,AMN45125,NAPOI6003V,yes,no,208,4546,10025000000052,NULL,1114020000176,NULL,NULL,3000,4396 2395 1258 1322,1285 9438 8752 1005,yes,171010,237901,47058,"H.No:21/A,ganseh lane,lalbaug",29-06-2007,,
Doddipatla,28,married,10083,IBM,Navi Mumbai,V&V,1008,7456981235,Bangalore,6.5,BE/BTech,QSZ126580,NAPOI6004B,yes,no,208,1245,10025000000053,NULL,1114020000177,NULL,NULL,4000,4427 2385 1258 1223,1286 9438 8752 1005,yes,87477,327850,45244,"H.No:7/L,furniture wala road,Worli",30-06-2007,,
GnanaKumar,28,single,10084,IBM,Navi Mumbai,DotNet,1008,7456981235,Bangalore,4.5,BE/BTech,PLI9632587,NAPOI6005B,yes,no,208,22,10025000000054,NULL,1114020000178,NULL,NULL,5000,4428 2385 1258 1223,1287 9438 8752 1005,yes,41591,367220,9141,"H.No:2/B,savla street,matunga(W)",01-07-2007,,
Kamath,25,single,10085,IBM,Navi Mumbai,J2EE,1008,9547863210,Bangalore,3.5,BE/BTech,APL784515,NAPOI6006N,yes,yes,203,5,10025000000055,NULL,1114020000179,NULL,NULL,6000,4429 2385 1258 1223,1288 9438 8752 1005,yes,107020,83697,90264,"H.No:5/L,savla street,matunga(W)",02-07-2007,,
Pandey,27,single,10086,IBM,Navi Mumbai,ABAP,1008,9526001255,Bangalore,4.5,BE/BTech,PLI9632588,NAPOI6007M,no,yes,204,6,10025000000056,NULL,1114020000180,NULL,NULL,70000,4430 2385 1258 1223,1289 9438 8752 1005,yes,55058,327605,537657,"H.No:7/D,shivari road,Parel(E)",26-01-2009,,
Rajendran,28,single,10087,IBM,Navi Mumbai,DotNet,1008,9446552130,Bangalore,5,BE/BTech,EFU589634,NAPOI6008T,yes,no,208,346,10025000000057,NULL,1114020000181,NULL,NULL,80000,4397 2395 1258 1322,1290 9438 8752 1005,no,193798,115552,522192,"H.No:3/A,cloves lane,masjid bunder(W)",03-06-2010,,
teenu,27,married,10088,IBM,Navi Mumbai,V&V,1008,9884655216,Bangalore,4,BE/BTech,IJP8252372,NAPOI6009G,yes,no,208,754,10025000000058,NULL,1114020000182,NULL,NULL,1230,4431 2385 1258 1223,1291 9438 8752 1005,yes,121345,21893,134559,"H.No:1/B,Lifestyle Road,Parel(W)",26-01-2009,,
nandhu,24,single,10089,IBM,Navi Mumbai,Business Intelligence,1008,9446855213,Bangalore,2,BE/BTech,QSR985415,NAPOI6010Q,yes,no,208,13,10025000000059,NULL,1114020000183,1111250000045,NULL,12560,4432 2385 1258 1223,1292 9438 8752 1005,yes,35821,348380,500745,"H.No:13/Q,Queens road,Chinchpokli",24-01-2010,,
Thaticherla,30,married,10090,IBM,Navi Mumbai,J2EE,1008,9446688552,Bangalore,7.5,BE/BTech,APL784513,NAPOI6011E,yes,no,208,784,10025000000060,NULL,1114020000184,NULL,NULL,4560,4433 2385 1258 1223,1293 9438 8752 1005,yes,14271,204700,91617,"H.No:3/B,M G road,Byculla(W)",26-01-2009,,
Bannuru,32,married,10001,IBM,Navi Mumbai,ABAP,1008,9325864406,Bangalore,7,BE/BTech,PLI9632586,NAPOI6012R,yes,no,208,636,10025000000061,NULL,1114020000185,NULL,NULL,7890,4434 2385 1258 1223,1294 9438 8752 1005,yes,38547,13489,314101,"H.No:2/C,Dharavi road,Sion(W)",03-06-2010,,
Enjeti,33,divorced,10002,IBM,Navi Mumbai,V&V,1008,9556844689,Bangalore,7,BE/BTech,EFU589632,NAPOI6013T,yes,no,208,586,10025000000062,NULL,1114020000186,NULL,NULL,0,4398 2395 1258 1322,1295 9438 8752 1005,yes,14428,72957,197519,"H.No:2/S,Chandvarkar road,Matunga(W)",26-01-2009,,
Tadimarri,34,married,10003,IBM,Navi Mumbai,DotNet,1008,9446688552,Bangalore,7,BE/BTech,IJP8252370,NAPOI6014Y,yes,no,208,224,10025000000063,NULL,1114020000187,NULL,NULL,12340,4435 2385 1258 1223,1296 9438 8752 1005,yes,116919,38633,102999,"H.No:1/A,Napoo Road,Lalbaug",20-08-2008,,
Alluri,35,married,10004,IBM,Navi Mumbai,V&V,1008,7866455699,Bangalore,7,BE/BTech,QSR985413,NAPOI6015U,yes,no,208,25,10025000000064,NULL,1114020000188,NULL,NULL,12580,4436 2385 1258 1223,1297 9438 8752 1005,yes,144042,6826,345018,"H.No:4/T,Bhulabhai desai road,wadala(E)",20-08-2008,,
lina Patil,29,married,10005,IBM,Navi Mumbai,DotNet,1008,8445699456,Bangalore,7.5,BE/BTech,AMN45124,NAPOI6016I,yes,no,208,364,10025000000065,NULL,1114020000189,NULL,NULL,12580,4437 2385 1258 1223,1298 9438 8752 1005,yes,95668,180998,456049,"H.No:3/N,dargah road,mahalakshmi",20-08-2008,,
Giri,29,married,10006,IBM,Navi Mumbai,Business Intelligence,1008,7556996446,Bangalore,6.5,BE/BTech,QSZ126579,NAPOI6017O,yes,no,208,365,10025000000066,NULL,1114020000190,NULL,NULL,36952,4438 2385 1258 1223,1299 9438 8752 1005,yes,196304,384240,281624,"H.No:1/A,Shinde Wadi,Dadar(E)",20-08-2008,,
Managonda,32,married,10007,IBM,Navi Mumbai,J2EE,1008,8744612358,Bangalore,5.5,BE/BTech,PLI9632586,NAPOI6018P,no,no,208,7845,10025000000067,NULL,1114020000191,NULL,NULL,3000,4399 2395 1258 1322,1300 9438 8752 1005,yes,73109,250505,457171,"H.No:1/B,Tata Hospital Road,Parel(E)",20-08-2008,,
Sonone,27,divorced,10008,IBM,Navi Mumbai,ABAP,1008,9745564564,Bangalore,8,BE/BTech,APL784514,NAPOI6019Q,yes,no,208,524,10025000000068,NULL,1114020000192,NULL,NULL,2000,4439 2385 1258 1223,1301 9438 8752 1005,yes,151174,218829,565513,"H.No:1/B,Caters Road,Prabhadevi",20-08-2008,,
Nalegavamath,26,married,10009,IBM,Navi Mumbai,V&V,1008,9562121212,Bangalore,4.5,BE/BTech,PLI9632587,NAPOI6020A,yes,no,208,452,10025000000069,NULL,1114020000193,NULL,NULL,1205,4440 2385 1258 1223,1302 9438 8752 1005,yes,9694,87200,253470,"H.No:1/B,Shinde Wadi,Dadar(E)",20-08-2008,,
Baradeli,30,single,10010,IBM,Navi Mumbai,Mainframes,1008,9456352362,Bangalore,7.5,BE/BTech,EFU589633,NAPOI6021S,yes,yes,211,785,10025000000070,1112510000273,1114020000194,NULL,NULL,12223,4441 2385 1258 1223,1303 9438 8752 1005,yes,173653,37966,386269,"H.No:1/C,Tata Hospital Road,Parel(E)",20-08-2008,,
Penta,28,married,10011,IBM,Navi Mumbai,ABAP,1008,9886554442,Bangalore,4,BE/BTech,IJP8252371,NAPOI6022D,yes,yes,210,654,10025000000071,1112510000274,1114020000195,NULL,NULL,5935,4442 2385 1258 1223,1304 9438 8752 1005,yes,158476,45242,229686,"H.No:1/C,Caters Road,Prabhadevi",20-08-2008,,
Agrawal,26,married,10012,IBM,Navi Mumbai,Mainframes,1008,9556688113,Bangalore,4.5,BE/BTech,QSR985414,NAPOI6023F,yes,yes,203,321,10025000000072,1112510000275,1114020000196,NULL,NULL,25,4400 2395 1258 1322,1305 9438 8752 1005,yes,81682,156190,462955,"H.No:1/I,nakshatra road,Dadar(E)",20-08-2008,,
Sheelam,27,married,10013,IBM,Pune,Mainframes,1008,9456328100,Bangalore,5.5,BE/BTech,AMN45125,PUENP7000A,yes,yes,209,652,10025000000073,1112510000276,1114020000197,NULL,NULL,282,4443 2385 1258 1223,1306 9438 8752 1005,yes,155706,147438,76973,"H.No:2/B,Rani baug,Byculla(E)",20-08-2008,,
Ravi,29,married,10014,IBM,Pune,V&V,1008,9633365332,Bangalore,6.5,BE/BTech,QSZ126580,PUENP7001N,yes,no,208,96,10025000000074,1112510000277,1114020000198,NULL,NULL,23,4444 2385 1258 1223,1307 9438 8752 1005,yes,106281,369564,227015,"H.No:2/O,ferry wharf,mazgaon",26-01-2009,,
Arasu,34,married,10015,IBM,Pune,Business Intelligence,1008,9856663211,Bangalore,7.5,BE/BTech,PLI9632587,PUENP7002B,yes,no,208,85,10025000000075,1112510000278,NULL,NULL,NULL,1937,4445 2385 1258 1223,1308 9438 8752 1005,yes,189766,5844,575052,"H.No:1/A,Porteguse church,Dadar(W)",03-06-2010,,
Rajagopal,31,married,10016,IBM,Pune,J2EE,1008,9562223654,Bangalore,4.5,BE/BTech,APL784515,PUENP7003V,yes,no,208,452,10025000000076,1112510000279,NULL,NULL,NULL,384,4446 2385 1258 1223,1309 9438 8752 1005,yes,24189,9404,395760,"H.No:3/B,standard mill compound,Wadala(W)",03-06-2010,,
